timestamp,open,high,low,close,volume
2024-12-22,3706.35000000,4109.00000000,3095.65000000,3354.41000000,3580427.09117758
2024-11-30,2514.74000000,3740.63000000,2355.43000000,3706.35000000,4489422.61692559
2024-10-31,2601.33000000,2768.22000000,2309.17000000,2514.84000000,2363016.26002413
2024-09-30,2512.49000000,2729.39000000,2150.00000000,2601.27000000,2204357.25452820
2024-08-31,3231.81000000,3242.14000000,2116.02000000,2512.62000000,3537775.11310482
2024-07-31,3432.37000000,3563.02000000,2809.41000000,3231.81000000,2571894.63933333
2024-06-30,3758.44000000,3888.90000000,3233.75000000,3432.37000000,2302932.79582391
2024-05-31,3011.24000000,3973.90000000,2814.12000000,3758.44000000,2925014.44480122
2024-04-30,3645.55000000,3729.16000000,2850.00000000,3011.40000000,2950747.76629403
2024-03-31,3341.78000000,4093.88000000,3057.50000000,3645.48000000,4333603.30977321
2024-02-29,2281.55000000,3521.99000000,2239.04000000,3341.78000000,2927133.59321005
